country,code,latest_year,latest_tb_cases,latest_tb_incidence,country_encoded,prev_tb_cases,prev_tb_incidence,avg_prev_tb_cases,avg_prev_tb_incidence,case_trend,incidence_trend
Sint Maarten (Dutch part),SXM,2024,3.0,6.9,174,3.0,7.0,2.2142857142857144,5.714285714285714,1.0,2.3
Slovakia,SVK,2024,180.0,3.3,175,250.0,4.6,678.75,12.691666666666668,80.0,1.3999999999999995
Slovenia,SVN,2024,54.0,2.6,176,100.0,4.7,242.75,12.016666666666666,15.0,0.7000000000000002
Solomon Islands,SLB,2024,1000.0,123.0,177,780.0,97.0,1024.5833333333333,186.75,20.0,0.0
Somalia,SOM,2024,29000.0,151.0,178,29000.0,157.0,29250.0,237.91666666666666,0.0,-5.0
South Africa,ZAF,2024,249000.0,389.0,179,270000.0,427.0,501125.0,943.4583333333334,-22000.0,-41.0
South Korea,KOR,2024,18000.0,35.0,180,20000.0,38.0,37375.0,76.08333333333333,0.0,-2.0
South Sudan,SSD,2024,38000.0,320.0,181,37000.0,326.0,40000.0,369.0,0.0,-7.0
Spain,ESP,2024,3800.0,7.9,182,4700.0,9.7,7595.833333333333,16.974999999999998,1700.0,3.3999999999999995
Sri Lanka,LKA,2024,14000.0,59.0,183,13000.0,57.0,18458.333333333332,88.0,0.0,1.0
Sudan,SDN,2024,24000.0,47.0,184,25000.0,50.0,41916.666666666664,104.41666666666667,-2000.0,-4.0
Suriname,SUR,2024,210.0,34.0,185,200.0,31.0,209.58333333333334,37.916666666666664,0.0,-1.0
Sweden,SWE,2024,350.0,3.3,186,400.0,3.8,618.75,6.504166666666666,-20.0,-0.20000000000000018
Switzerland,CHE,2024,480.0,5.4,187,470.0,5.4,594.1666666666666,7.533333333333334,70.0,0.9000000000000004
Syria,SYR,2024,5600.0,23.0,188,5500.0,23.0,7150.0,36.75,600.0,1.0
Tajikistan,TJK,2024,7900.0,75.0,189,7900.0,76.0,10887.5,141.0,100.0,-1.0
Tanzania,TZA,2024,118000.0,172.0,190,122000.0,183.0,169541.66666666666,374.9166666666667,-4000.0,-12.0
Thailand,THA,2024,104000.0,146.0,191,107000.0,149.0,126541.66666666667,185.91666666666666,1000.0,1.0
Togo,TGO,2024,4500.0,48.0,192,4400.0,47.0,4666.666666666667,67.95833333333333,200.0,0.0
Tokelau,TKL,2024,0.0,13.0,193,0.0,0.0,0.08333333333333333,6.454166666666667,0.0,-12.0
Tonga,TON,2024,2.0,1.9,194,8.0,7.6,12.666666666666666,11.9375,6.0,5.699999999999999
Trinidad and Tobago,TTO,2024,400.0,27.0,195,370.0,25.0,327.5,23.458333333333332,40.0,3.0
Tunisia,TUN,2024,4700.0,39.0,196,4700.0,38.0,4758.333333333333,43.25,-100.0,-1.0
Turkey,TUR,2024,11000.0,13.0,197,12000.0,14.0,23083.333333333332,31.625,-1000.0,-1.0
Turkmenistan,TKM,2024,3000.0,40.0,198,3000.0,41.0,4804.166666666667,88.5,-300.0,-5.0
Turks and Caicos Islands,TCA,2024,4.0,8.6,199,7.0,15.0,4.458333333333333,15.483333333333334,4.0,7.4
Tuvalu,TUV,2024,22.0,223.0,200,16.0,163.0,19.125,185.20833333333334,-10.0,-97.0
Uganda,UGA,2024,99000.0,197.0,201,96000.0,198.0,74291.66666666667,217.625,2000.0,0.0
Ukraine,UKR,2024,33000.0,86.0,202,34000.0,89.0,64916.666666666664,139.16666666666666,-2000.0,2.0
United Arab Emirates,ARE,2024,70.0,0.63,203,81.0,0.76,146.66666666666666,2.5833333333333335,2.0,-0.010000000000000009
United Kingdom,GBR,2024,6700.0,9.7,204,5900.0,8.6,7408.333333333333,11.716666666666667,600.0,0.7999999999999998
United States,USA,2024,11000.0,3.2,205,11000.0,3.1,13779.166666666666,4.454166666666667,2000.0,0.5
Uruguay,URY,2024,1600.0,47.0,206,1500.0,45.0,1092.5,32.541666666666664,100.0,4.0
Uzbekistan,UZB,2024,18000.0,51.0,207,19000.0,54.0,30125.0,106.58333333333333,-1000.0,-3.0
Vanuatu,VUT,2024,150.0,44.0,208,140.0,45.0,282.5,124.91666666666667,0.0,-1.0
Venezuela,VEN,2024,13000.0,46.0,209,13000.0,47.0,11900.0,42.916666666666664,-1000.0,-1.0
Vietnam,VNM,2024,184000.0,182.0,210,185000.0,185.0,197583.33333333334,225.75,8000.0,7.0
Wallis and Futuna,WLF,2024,0.0,0.0,211,0.0,0.68,3.7916666666666665,26.819999999999997,0.0,-0.31999999999999995
Yemen,YEM,2024,16000.0,40.0,212,15000.0,38.0,13250.0,49.208333333333336,1000.0,2.0
Zambia,ZMB,2024,58000.0,272.0,213,59000.0,283.0,67166.66666666667,480.6666666666667,0.0,-12.0
Zimbabwe,ZWE,2024,34000.0,203.0,214,34000.0,209.0,51500.0,388.4583333333333,0.0,0.0
